title,artist
Garota de Ipanema,Antonio Carlos Jobim
Chega de Saudade,Joao Gilberto
Corcovado,Antonio Carlos Jobim
Desafinado,Joao Gilberto
Wave,Antonio Carlos Jobim
O Barquinho,Roberto Menescal
Samba de Verao,Marcos Valle
Agua de Beber,Antonio Carlos Jobim
Dindi,Antonio Carlos Jobim
Triste,Tom Jobim
Insensatez,Antonio Carlos Jobim
Meditacao,Antonio Carlos Jobim
So Danco Samba,Antonio Carlos Jobim
Luiza,Antonio Carlos Jobim
Felicidade,Antonio Carlos Jobim
O Grande Amor,Antonio Carlos Jobim
Este Seu Olhar,Antonio Carlos Jobim
Retrato em Branco e Preto,Antonio Carlos Jobim
Ligia,Antonio Carlos Jobim
Passarim,Antonio Carlos Jobim
Fotografia,Antonio Carlos Jobim
Outra Vez,Antonio Carlos Jobim
Eu Sei Que Vou Te Amar,Antonio Carlos Jobim
Vivo Sonhando,Antonio Carlos Jobim
One Note Samba,Antonio Carlos Jobim
Sabia,Antonio Carlos Jobim
Inutil Paisagem,Antonio Carlos Jobim
Brigas Nunca Mais,Antonio Carlos Jobim
O Morro Nao Tem Vez,Antonio Carlos Jobim
Carolina,Antonio Carlos Jobim
Estrada Branca,Antonio Carlos Jobim
Falando de Amor,Antonio Carlos Jobim
Chora Coracao,Antonio Carlos Jobim
Voce e Linda,Antonio Carlos Jobim
Olha Maria,Antonio Carlos Jobim
Amparo,Antonio Carlos Jobim
Antigua,Antonio Carlos Jobim
Bonita,Antonio Carlos Jobim
Boranda,Antonio Carlos Jobim
Caminhos Cruzados,Antonio Carlos Jobim
Children's Games,Antonio Carlos Jobim
Chovendo na Roseira,Antonio Carlos Jobim
Correnteza,Antonio Carlos Jobim
Double Rainbow,Antonio Carlos Jobim
Eco,Antonio Carlos Jobim
Gabriela,Antonio Carlos Jobim
Modinha,Antonio Carlos Jobim
Pato Preto,Antonio Carlos Jobim
Pequena Moca,Antonio Carlos Jobim
Piano na Mangueira,Antonio Carlos Jobim
Por Causa de Voce,Antonio Carlos Jobim
Se Todos Fossem Iguais a Voce,Antonio Carlos Jobim
Tereza My Love,Antonio Carlos Jobim
Tres Palavras,Antonio Carlos Jobim
Zingaro,Antonio Carlos Jobim
The Girl from Ipanema,Antonio Carlos Jobim
Água de Beber,Antonio Carlos Jobim
The Girl From Ipanema,Antonio Carlos Jobim
Águas de Março,Antonio Carlos Jobim
Para Machucar Meu Coração,Antonio Carlos Jobim
Águas de Março,Antonio Carlos Jobim
Água de Beber,Antonio Carlos Jobim
Samba De Uma Nota Só,Antonio Carlos Jobim
Só Tinha De Ser Com Você,Antonio Carlos Jobim
A Felicidade,Antonio Carlos Jobim
Meditação,Antonio Carlos Jobim
Brazil,Antonio Carlos Jobim
Águas de Março,Antonio Carlos Jobim
How Insensitive (Insensatez),Antonio Carlos Jobim
Doralice,Antonio Carlos Jobim
Águas de Março (Waters of March),Antonio Carlos Jobim
Só danço samba,Antonio Carlos Jobim
Poesia Acústica 14,Antonio Carlos Jobim
Eu seu que vou te amar,Antonio Carlos Jobim
Lygia,Antonio Carlos Jobim
"Brigas, Nunca Mais",Antonio Carlos Jobim
Photograph,Antonio Carlos Jobim
Bim Bom,Antonio Carlos Jobim
Rosa Morena,Antonio Carlos Jobim
Samba de Avião,Antonio Carlos Jobim
O Morro não tem Vez,Antonio Carlos Jobim
Favela,Antonio Carlos Jobim
Sabiá,Antonio Carlos Jobim
Lamento,Antonio Carlos Jobim
